Time,Power
08/07/2017 00:15,18.79
08/07/2017 00:30,17.03
08/07/2017 00:45,18.22
08/07/2017 01:00,17.78
08/07/2017 01:15,17.1
08/07/2017 01:30,17.75
08/07/2017 01:45,17.1
08/07/2017 02:00,18.14
08/07/2017 02:15,17.5
08/07/2017 02:30,17.28
08/07/2017 02:45,17.89
08/07/2017 03:00,17.24
08/07/2017 03:15,17.42
08/07/2017 03:30,17.57
08/07/2017 03:45,17.06
08/07/2017 04:00,17.86
08/07/2017 04:15,17.35
08/07/2017 04:30,17.89
08/07/2017 04:45,17.14
08/07/2017 05:00,17.14
08/07/2017 05:15,17.42
08/07/2017 05:30,16.88
08/07/2017 05:45,18.25
08/07/2017 06:00,36.14
08/07/2017 06:15,36.25
08/07/2017 06:30,34.6
08/07/2017 06:45,35.93
08/07/2017 07:00,32.4
08/07/2017 07:15,28.19
08/07/2017 07:30,30.38
08/07/2017 07:45,30.35
08/07/2017 08:00,38.92
08/07/2017 08:15,45.04
08/07/2017 08:30,35.32
08/07/2017 08:45,43.45
08/07/2017 09:00,53.1
08/07/2017 09:15,50.54
08/07/2017 09:30,48.85
08/07/2017 09:45,52.24
08/07/2017 10:00,61.06
08/07/2017 10:15,48.13
08/07/2017 10:30,48.06
08/07/2017 10:45,48.85
08/07/2017 11:00,54.97
08/07/2017 11:15,50.33
08/07/2017 11:30,50.04
08/07/2017 11:45,53.86
08/07/2017 12:00,62.71
08/07/2017 12:15,50.08
08/07/2017 12:30,49.97
08/07/2017 12:45,61.24
08/07/2017 13:00,56.74
08/07/2017 13:15,51.08
08/07/2017 13:30,53.64
08/07/2017 13:45,52.24
08/07/2017 14:00,56.38
08/07/2017 14:15,54.54
08/07/2017 14:30,51.91
08/07/2017 14:45,56.7
08/07/2017 15:00,57.78
08/07/2017 15:15,60.8
08/07/2017 15:30,53.03
08/07/2017 15:45,53.46
08/07/2017 16:00,58.21
08/07/2017 16:15,53.86
08/07/2017 16:30,52.99
08/07/2017 16:45,54.47
08/07/2017 17:00,62.39
08/07/2017 17:15,50.94
08/07/2017 17:30,50.69
08/07/2017 17:45,50.72
08/07/2017 18:00,53.32
08/07/2017 18:15,47.92
08/07/2017 18:30,42.95
08/07/2017 18:45,45.97
08/07/2017 19:00,46.73
08/07/2017 19:15,49.57
08/07/2017 19:30,40.68
08/07/2017 19:45,41.76
08/07/2017 20:00,46.76
08/07/2017 20:15,42.62
08/07/2017 20:30,41.33
08/07/2017 20:45,41.8
08/07/2017 21:00,40.9
08/07/2017 21:15,45.32
08/07/2017 21:30,39.53
08/07/2017 21:45,41.83
08/07/2017 22:00,43.16
08/07/2017 22:15,36.4
08/07/2017 22:30,33.23
08/07/2017 22:45,32.15
08/07/2017 23:00,27.61
08/07/2017 23:15,20.09
08/07/2017 23:30,19.58
08/07/2017 23:45,18.4
08/07/2017 00:00,17.75
08/08/2017 00:15,18.22
08/08/2017 00:30,17.57
08/08/2017 00:45,18.76
08/08/2017 01:00,18.4
08/08/2017 01:15,19.04
08/08/2017 01:30,18.65
08/08/2017 01:45,19.19
08/08/2017 02:00,18.43
08/08/2017 02:15,19.01
08/08/2017 02:30,19.04
08/08/2017 02:45,18.43
08/08/2017 03:00,18.94
08/08/2017 03:15,17.86
08/08/2017 03:30,18.86
08/08/2017 03:45,18.79
08/08/2017 04:00,18.68
08/08/2017 04:15,17.93
08/08/2017 04:30,19.22
08/08/2017 04:45,18.14
08/08/2017 05:00,18.11
08/08/2017 05:15,18.25
08/08/2017 05:30,18.11
08/08/2017 05:45,19.48
08/08/2017 06:00,35.53
08/08/2017 06:15,35.82
08/08/2017 06:30,35.21
08/08/2017 06:45,37.69
08/08/2017 07:00,31.14
08/08/2017 07:15,31.07
08/08/2017 07:30,33.26
08/08/2017 07:45,32.47
08/08/2017 08:00,40.43
08/08/2017 08:15,44.78
08/08/2017 08:30,37.4
08/08/2017 08:45,43.78
08/08/2017 09:00,55.91
08/08/2017 09:15,52.16
08/08/2017 09:30,48.74
08/08/2017 09:45,53.14
08/08/2017 10:00,61.31
08/08/2017 10:15,52.2
08/08/2017 10:30,49.79
08/08/2017 10:45,50.72
08/08/2017 11:00,55.12
08/08/2017 11:15,52.42
08/08/2017 11:30,49.61
08/08/2017 11:45,55.51
08/08/2017 12:00,61.67
08/08/2017 12:15,51.16
08/08/2017 12:30,48.85
08/08/2017 12:45,58.68
08/08/2017 13:00,54.29
08/08/2017 13:15,50.76
08/08/2017 13:30,51.59
08/08/2017 13:45,51.62
08/08/2017 14:00,56.48
08/08/2017 14:15,52.88
08/08/2017 14:30,50.0
08/08/2017 14:45,49.28
08/08/2017 15:00,52.99
08/08/2017 15:15,54.94
08/08/2017 15:30,46.62
08/08/2017 15:45,47.77
08/08/2017 16:00,54.58
08/08/2017 16:15,48.71
08/08/2017 16:30,48.13
08/08/2017 16:45,50.8
08/08/2017 17:00,59.62
08/08/2017 17:15,47.48
08/08/2017 17:30,46.26
08/08/2017 17:45,46.01
08/08/2017 18:00,50.0
08/08/2017 18:15,44.82
08/08/2017 18:30,41.15
08/08/2017 18:45,42.98
08/08/2017 19:00,43.06
08/08/2017 19:15,43.92
08/08/2017 19:30,38.63
08/08/2017 19:45,38.77
08/08/2017 20:00,43.85
08/08/2017 20:15,38.7
08/08/2017 20:30,36.65
08/08/2017 20:45,39.64
08/08/2017 21:00,39.56
08/08/2017 21:15,43.85
08/08/2017 21:30,36.68
08/08/2017 21:45,39.56
08/08/2017 22:00,40.9
08/08/2017 22:15,31.21
08/08/2017 22:30,30.6
08/08/2017 22:45,31.61
08/08/2017 23:00,29.16
08/08/2017 23:15,21.82
08/08/2017 23:30,18.83
08/08/2017 23:45,18.61
08/08/2017 00:00,19.4
08/09/2017 00:15,18.25
08/09/2017 00:30,18.14
08/09/2017 00:45,17.28
08/09/2017 01:00,18.18
08/09/2017 01:15,17.24
08/09/2017 01:30,18.4
08/09/2017 01:45,18.5
08/09/2017 02:00,17.57
